product_id,forecast_date,predicted_sales,confidence_interval_lower,confidence_interval_upper,created_at
1,2025-11-02,35.04,30.39,37.79,2025-11-02 19:07:37.929237
1,2025-11-03,18.64,16.56,19.74,2025-11-02 19:07:37.929263
1,2025-11-04,28.41,23.46,32.68,2025-11-02 19:07:37.929282
1,2025-11-05,45.39,41.9,48.31,2025-11-02 19:07:37.929301
1,2025-11-06,49.57,46.78,54.24,2025-11-02 19:07:37.929320
1,2025-11-07,39.28,36.96,42.3,2025-11-02 19:07:37.929339
1,2025-11-08,22.29,20.75,24.72,2025-11-02 19:07:37.929356
1,2025-11-09,45.0,40.99,47.11,2025-11-02 19:07:37.929374
1,2025-11-10,21.56,18.09,24.22,2025-11-02 19:07:37.929392
1,2025-11-11,27.64,23.84,30.51,2025-11-02 19:07:37.929412
1,2025-11-12,13.59,10.51,16.02,2025-11-02 19:07:37.929431
1,2025-11-13,18.08,15.77,20.84,2025-11-02 19:07:37.929451
1,2025-11-14,44.9,40.96,48.57,2025-11-02 19:07:37.929469
1,2025-11-15,26.21,25.2,28.57,2025-11-02 19:07:37.929487
1,2025-11-16,41.59,39.04,44.85,2025-11-02 19:07:37.929506
1,2025-11-17,14.21,9.55,18.91,2025-11-02 19:07:37.929524
1,2025-11-18,11.57,7.68,12.87,2025-11-02 19:07:37.929542
1,2025-11-19,31.93,30.22,33.52,2025-11-02 19:07:37.929561
1,2025-11-20,5.19,0.42,9.5,2025-11-02 19:07:37.929580
1,2025-11-21,8.49,5.09,10.42,2025-11-02 19:07:37.929598
1,2025-11-22,16.88,12.38,18.34,2025-11-02 19:07:37.929617
1,2025-11-23,32.07,29.46,33.83,2025-11-02 19:07:37.929635
1,2025-11-24,25.34,20.57,29.46,2025-11-02 19:07:37.929653
1,2025-11-25,10.95,6.55,15.69,2025-11-02 19:07:37.929670
1,2025-11-26,17.46,15.13,18.97,2025-11-02 19:07:37.929708
1,2025-11-27,20.52,16.83,22.61,2025-11-02 19:07:37.929727
1,2025-11-28,5.31,2.95,8.12,2025-11-02 19:07:37.929747
1,2025-11-29,30.49,26.75,31.73,2025-11-02 19:07:37.929766
1,2025-11-30,26.14,24.07,30.93,2025-11-02 19:07:37.929784
1,2025-12-01,21.2,19.79,22.36,2025-11-02 19:07:37.929801
1,2025-12-02,16.94,15.23,20.54,2025-11-02 19:07:37.929820
1,2025-12-03,43.11,40.86,46.42,2025-11-02 19:07:37.929838
1,2025-12-04,37.86,35.27,39.13,2025-11-02 19:07:37.929857
1,2025-12-05,15.31,10.78,19.61,2025-11-02 19:07:37.929888
1,2025-12-06,8.89,7.0,12.97,2025-11-02 19:07:37.929903
1,2025-12-07,26.87,22.83,28.71,2025-11-02 19:07:37.929923
1,2025-12-08,47.87,43.74,49.66,2025-11-02 19:07:37.929942
1,2025-12-09,30.13,28.68,32.58,2025-11-02 19:07:37.929957
1,2025-12-10,34.68,32.36,38.31,2025-11-02 19:07:37.929968
1,2025-12-11,16.02,12.13,18.45,2025-11-02 19:07:37.930434
1,2025-12-12,40.57,39.02,43.02,2025-11-02 19:07:37.930449
1,2025-12-13,25.88,23.18,28.61,2025-11-02 19:07:37.930461
1,2025-12-14,25.02,20.06,26.79,2025-11-02 19:07:37.930472
