order_id,product_id,quantity,price,created_at
1,287,2,442.04,2025-10-19 19:07:37.428515
1,78,4,96.25,2025-10-19 19:07:37.428515
1,241,4,386.64,2025-10-19 19:07:37.428515
1,163,6,120.44,2025-10-19 19:07:37.428515
2,200,2,293.78,2025-08-17 19:07:37.428581
2,390,6,139.95,2025-08-17 19:07:37.428581
2,138,5,240.72,2025-08-17 19:07:37.428581
2,234,7,347.15,2025-08-17 19:07:37.428581
3,416,4,319.31,2025-10-25 19:07:37.428632
3,458,9,79.33,2025-10-25 19:07:37.428632
3,308,3,114.28,2025-10-25 19:07:37.428632
4,162,5,284.16,2025-09-03 19:07:37.428695
4,340,8,204.61,2025-09-03 19:07:37.428695
5,326,2,48.49,2025-10-31 19:07:37.428741
5,243,9,201.34,2025-10-31 19:07:37.428741
5,221,9,56.53,2025-10-31 19:07:37.428741
6,21,3,188.56,2025-08-25 19:07:37.428781
6,82,8,285.19,2025-08-25 19:07:37.428781
6,367,6,343.21,2025-08-25 19:07:37.428781
7,411,7,39.62,2025-09-13 19:07:37.428820
7,145,1,475.01,2025-09-13 19:07:37.428820
8,250,2,72.73,2025-09-29 19:07:37.428858
8,26,3,240.31,2025-09-29 19:07:37.428858
8,33,5,244.99,2025-09-29 19:07:37.428858
8,303,3,299.23,2025-09-29 19:07:37.428858
9,456,6,250.25,2025-08-26 19:07:37.428898
10,83,9,50.44,2025-08-11 19:07:37.428938
11,32,1,431.06,2025-08-21 19:07:37.428975
12,326,8,48.49,2025-08-25 19:07:37.429013
12,196,5,423.99,2025-08-25 19:07:37.429013
12,473,6,102.75,2025-08-25 19:07:37.429013
13,295,7,100.6,2025-09-25 19:07:37.429052
13,324,4,493.4,2025-09-25 19:07:37.429052
13,4,5,362.39,2025-09-25 19:07:37.429052
13,485,8,309.91,2025-09-25 19:07:37.429052
14,66,7,495.08,2025-10-10 19:07:37.429089
15,16,1,74.76,2025-09-23 19:07:37.429132
16,250,7,72.73,2025-09-04 19:07:37.429171
16,354,2,128.11,2025-09-04 19:07:37.429171
16,417,2,5.61,2025-09-04 19:07:37.429171
16,125,7,493.17,2025-09-04 19:07:37.429171
17,470,2,406.83,2025-10-03 19:07:37.429209
18,335,9,363.79,2025-09-28 19:07:37.429247
18,215,1,253.59,2025-09-28 19:07:37.429247
18,444,9,265.89,2025-09-28 19:07:37.429247
18,114,4,220.05,2025-09-28 19:07:37.429247
19,464,4,277.06,2025-10-04 19:07:37.429284
20,307,1,85.99,2025-09-29 19:07:37.429321
20,375,6,162.01,2025-09-29 19:07:37.429321
20,74,4,482.8,2025-09-29 19:07:37.429321
20,246,6,57.77,2025-09-29 19:07:37.429321
21,208,4,32.11,2025-10-24 19:07:37.429359
22,221,6,56.53,2025-08-06 19:07:37.429396
22,410,8,39.36,2025-08-06 19:07:37.429396
23,259,4,300.15,2025-09-19 19:07:37.429433
24,125,1,493.17,2025-08-11 19:07:37.429470
24,308,9,114.28,2025-08-11 19:07:37.429470
25,235,4,290.38,2025-09-07 19:07:37.429507
25,156,7,460.83,2025-09-07 19:07:37.429507
25,394,3,189.89,2025-09-07 19:07:37.429507
25,313,4,283.56,2025-09-07 19:07:37.429507
26,346,5,121.72,2025-10-01 19:07:37.429552
26,306,6,498.58,2025-10-01 19:07:37.429552
27,42,1,297.49,2025-10-19 19:07:37.429586
27,110,6,45.27,2025-10-19 19:07:37.429586
27,324,3,493.4,2025-10-19 19:07:37.429586
28,167,9,184.73,2025-10-14 19:07:37.429621
28,403,6,275.62,2025-10-14 19:07:37.429621
29,112,2,493.07,2025-10-13 19:07:37.429655
30,373,5,59.01,2025-10-20 19:07:37.429700
30,139,7,282.66,2025-10-20 19:07:37.429700
30,105,4,395.86,2025-10-20 19:07:37.429700
31,447,9,71.23,2025-09-06 19:07:37.429735
32,100,3,56.05,2025-08-26 19:07:37.429769
33,393,2,459.29,2025-08-05 19:07:37.429803
33,486,5,392.98,2025-08-05 19:07:37.429803
34,197,4,79.21,2025-10-15 19:07:37.429837
34,342,5,176.24,2025-10-15 19:07:37.429837
35,324,9,493.4,2025-08-10 19:07:37.429881
35,93,6,54.89,2025-08-10 19:07:37.429881
35,411,3,39.62,2025-08-10 19:07:37.429881
36,134,1,379.76,2025-09-03 19:07:37.429918
36,389,6,292.56,2025-09-03 19:07:37.429918
37,379,8,303.71,2025-09-14 19:07:37.429952
37,187,9,228.71,2025-09-14 19:07:37.429952
37,187,3,228.71,2025-09-14 19:07:37.429952
38,132,8,42.3,2025-08-24 19:07:37.429987
38,123,8,230.55,2025-08-24 19:07:37.429987
39,180,3,239.22,2025-10-01 19:07:37.430022
39,330,2,468.43,2025-10-01 19:07:37.430022
39,420,6,132.24,2025-10-01 19:07:37.430022
40,366,5,92.69,2025-09-03 19:07:37.430056
40,19,2,304.95,2025-09-03 19:07:37.430056
40,473,1,102.75,2025-09-03 19:07:37.430056
41,81,7,330.27,2025-09-21 19:07:37.430090
42,183,3,362.19,2025-08-09 19:07:37.430128
42,318,3,305.62,2025-08-09 19:07:37.430128
43,443,1,498.36,2025-08-25 19:07:37.430163
44,28,2,43.11,2025-08-30 19:07:37.430197
44,282,8,26.97,2025-08-30 19:07:37.430197
44,403,7,275.62,2025-08-30 19:07:37.430197
44,119,9,459.96,2025-08-30 19:07:37.430197
45,129,8,86.59,2025-10-29 19:07:37.430231
45,481,3,290.7,2025-10-29 19:07:37.430231
46,341,8,132.55,2025-09-07 19:07:37.430265
46,281,7,198.63,2025-09-07 19:07:37.430265
46,192,9,439.92,2025-09-07 19:07:37.430265
47,83,5,50.44,2025-10-18 19:07:37.430299
47,394,8,189.89,2025-10-18 19:07:37.430299
47,268,1,263.65,2025-10-18 19:07:37.430299
48,71,1,190.91,2025-09-25 19:07:37.430332
48,253,6,128.59,2025-09-25 19:07:37.430332
48,273,2,302.4,2025-09-25 19:07:37.430332
48,293,2,68.79,2025-09-25 19:07:37.430332
49,218,1,95.05,2025-09-24 19:07:37.430365
49,374,8,221.9,2025-09-24 19:07:37.430365
50,205,8,467.51,2025-10-24 19:07:37.430399
50,80,6,95.52,2025-10-24 19:07:37.430399
50,379,3,303.71,2025-10-24 19:07:37.430399
50,289,2,368.29,2025-10-24 19:07:37.430399
51,13,5,470.05,2025-09-01 19:07:37.430432
52,366,1,92.69,2025-10-13 19:07:37.430466
52,448,1,342.08,2025-10-13 19:07:37.430466
53,217,2,388.89,2025-08-27 19:07:37.430499
53,359,4,65.44,2025-08-27 19:07:37.430499
53,263,8,120.31,2025-08-27 19:07:37.430499
54,165,1,294.18,2025-10-19 19:07:37.430541
54,304,4,411.65,2025-10-19 19:07:37.430541
54,282,3,26.97,2025-10-19 19:07:37.430541
