id,customer_id,status,created_at,updated_at,total_amount
1,198,cancelled,2025-01-01,2025-11-01,1016.82
2,124,completed,2025-01-02,2025-11-02,1030.08
3,90,pending,2025-01-03,2025-11-03,1021.57
4,138,completed,2025-01-04,2025-11-04,1047.61
5,45,cancelled,2025-01-05,2025-11-05,1036.85
6,198,cancelled,2025-01-06,2025-11-06,1041.77
7,124,completed,2025-01-07,2025-11-07,1062.57
8,90,pending,2025-01-08,2025-11-08,1061.47
9,138,completed,2025-01-09,2025-11-09,1070.74
10,45,cancelled,2025-01-10,2025-11-10,1049.64
11,198,cancelled,2025-01-11,2025-11-11,1004.04
12,124,completed,2025-01-12,2025-11-12,1032.31
13,90,pending,2025-01-13,2025-11-13,1052.79
14,138,completed,2025-01-14,2025-11-14,1041.6
15,45,cancelled,2025-01-15,2025-11-15,1051.88
16,198,cancelled,2025-01-16,2025-11-16,1070.57
17,124,completed,2025-01-17,2025-11-17,1031.94
18,90,pending,2025-01-18,2025-11-18,1090.9
19,138,completed,2025-01-19,2025-11-19,1006.62
20,45,cancelled,2025-01-20,2025-11-20,1049.88
21,198,cancelled,2025-01-21,2025-11-21,1075.97
22,124,completed,2025-01-22,2025-11-22,1065.52
23,90,pending,2025-01-23,2025-11-23,1067.86
24,138,completed,2025-01-24,2025-11-24,1071.98
25,45,cancelled,2025-01-25,2025-11-25,1029.16
26,198,cancelled,2025-01-26,2025-11-26,1066.3
27,124,completed,2025-01-27,2025-11-27,1007.29
28,90,pending,2025-01-28,2025-11-28,1079.41
29,138,completed,2025-01-29,2025-11-29,1017.05
30,45,cancelled,2025-01-30,2025-11-30,1020.6
31,198,cancelled,2025-01-31,2025-12-01,1067.88
32,124,completed,2025-02-01,2025-12-02,1062.31
33,90,pending,2025-02-02,2025-12-03,1057.3
34,138,completed,2025-02-03,2025-12-04,1036.93
35,45,cancelled,2025-02-04,2025-12-05,1064.57
36,198,cancelled,2025-02-05,2025-12-06,1022.42
37,124,completed,2025-02-06,2025-12-07,1094.22
38,90,pending,2025-02-07,2025-12-08,1001.94
39,138,completed,2025-02-08,2025-12-09,1011.0
40,45,cancelled,2025-02-09,2025-12-10,1087.46
41,198,cancelled,2025-02-10,2025-12-11,1045.26
42,124,completed,2025-02-11,2025-12-12,1096.3
43,90,pending,2025-02-12,2025-12-13,1080.17
44,138,completed,2025-02-13,2025-12-14,1096.44
45,45,cancelled,2025-02-14,2025-12-15,1038.84
46,198,cancelled,2025-02-15,2025-12-16,1075.24
47,124,completed,2025-02-16,2025-12-17,1019.57
48,90,pending,2025-02-17,2025-12-18,1083.16
49,138,completed,2025-02-18,2025-12-19,1082.91
50,45,cancelled,2025-02-19,2025-12-20,1096.14
51,198,cancelled,2025-02-20,2025-12-21,1043.48
52,124,completed,2025-02-21,2025-12-22,1041.42
53,90,pending,2025-02-22,2025-12-23,1085.43
54,138,completed,2025-02-23,2025-12-24,1097.18
55,45,cancelled,2025-02-24,2025-12-25,1049.65
56,198,cancelled,2025-02-25,2025-12-26,1067.45
57,124,completed,2025-02-26,2025-12-27,1014.49
58,90,pending,2025-02-27,2025-12-28,1081.33
59,138,completed,2025-02-28,2025-12-29,1021.45
60,45,cancelled,2025-03-01,2025-12-30,1049.35
61,198,cancelled,2025-03-02,2025-12-31,1079.5
62,124,completed,2025-03-03,2026-01-01,1081.24
63,90,pending,2025-03-04,2026-01-02,1043.57
64,138,completed,2025-03-05,2026-01-03,1093.99
65,45,cancelled,2025-03-06,2026-01-04,1095.69
66,198,cancelled,2025-03-07,2026-01-05,1005.46
67,124,completed,2025-03-08,2026-01-06,1092.47
68,90,pending,2025-03-09,2026-01-07,1060.34
69,138,completed,2025-03-10,2026-01-08,1072.16
70,45,cancelled,2025-03-11,2026-01-09,1098.84
71,198,cancelled,2025-03-12,2026-01-10,1037.23
72,124,completed,2025-03-13,2026-01-11,1090.04
73,90,pending,2025-03-14,2026-01-12,1073.02
74,138,completed,2025-03-15,2026-01-13,1072.97
75,45,cancelled,2025-03-16,2026-01-14,1009.88
76,198,cancelled,2025-03-17,2026-01-15,1040.13
77,124,completed,2025-03-18,2026-01-16,1000.5
78,90,pending,2025-03-19,2026-01-17,1050.4
79,138,completed,2025-03-20,2026-01-18,1037.25
80,45,cancelled,2025-03-21,2026-01-19,1056.64
81,198,cancelled,2025-03-22,2026-01-20,1021.06
82,124,completed,2025-03-23,2026-01-21,1099.98
83,90,pending,2025-03-24,2026-01-22,1084.96
84,138,completed,2025-03-25,2026-01-23,1001.35
85,45,cancelled,2025-03-26,2026-01-24,1077.73
86,198,cancelled,2025-03-27,2026-01-25,1090.94
87,124,completed,2025-03-28,2026-01-26,1048.37
88,90,pending,2025-03-29,2026-01-27,1051.22
89,138,completed,2025-03-30,2026-01-28,1069.17
90,45,cancelled,2025-03-31,2026-01-29,1069.73
91,198,cancelled,2025-04-01,2026-01-30,1080.78
92,124,completed,2025-04-02,2026-01-31,1052.69
93,90,pending,2025-04-03,2026-02-01,1020.62
94,138,completed,2025-04-04,2026-02-02,1022.09
95,45,cancelled,2025-04-05,2026-02-03,1090.16
96,198,cancelled,2025-04-06,2026-02-04,1049.86
97,124,completed,2025-04-07,2026-02-05,1078.42
98,90,pending,2025-04-08,2026-02-06,1094.99
99,138,completed,2025-04-09,2026-02-07,1000.93
100,45,cancelled,2025-04-10,2026-02-08,1059.07
101,198,cancelled,2025-04-11,2026-02-09,1075.35
102,124,completed,2025-04-12,2026-02-10,1032.82
103,90,pending,2025-04-13,2026-02-11,1040.29
104,138,completed,2025-04-14,2026-02-12,1032.03
105,45,cancelled,2025-04-15,2026-02-13,1037.4
106,198,cancelled,2025-04-16,2026-02-14,1042.21
107,124,completed,2025-04-17,2026-02-15,1011.29
108,90,pending,2025-04-18,2026-02-16,1075.19
109,138,completed,2025-04-19,2026-02-17,1092.31
110,45,cancelled,2025-04-20,2026-02-18,1040.02
111,198,cancelled,2025-04-21,2026-02-19,1017.25
112,124,completed,2025-04-22,2026-02-20,1092.2
113,90,pending,2025-04-23,2026-02-21,1067.63
114,138,completed,2025-04-24,2026-02-22,1029.57
115,45,cancelled,2025-04-25,2026-02-23,1012.42
116,198,cancelled,2025-04-26,2026-02-24,1023.76
117,124,completed,2025-04-27,2026-02-25,1037.0
118,90,pending,2025-04-28,2026-02-26,1054.93
119,138,completed,2025-04-29,2026-02-27,1081.22
120,45,cancelled,2025-04-30,2026-02-28,1073.06
121,198,cancelled,2025-05-01,2026-03-01,1041.92
122,124,completed,2025-05-02,2026-03-02,1030.26
123,90,pending,2025-05-03,2026-03-03,1022.1
124,138,completed,2025-05-04,2026-03-04,1089.59
125,45,cancelled,2025-05-05,2026-03-05,1001.01
126,198,cancelled,2025-05-06,2026-03-06,1042.64
127,124,completed,2025-05-07,2026-03-07,1072.51
128,90,pending,2025-05-08,2026-03-08,1044.62
129,138,completed,2025-05-09,2026-03-09,1055.29
130,45,cancelled,2025-05-10,2026-03-10,1076.85
131,198,cancelled,2025-05-11,2026-03-11,1077.9
132,124,completed,2025-05-12,2026-03-12,1018.32
133,90,pending,2025-05-13,2026-03-13,1002.89
134,138,completed,2025-05-14,2026-03-14,1092.12
135,45,cancelled,2025-05-15,2026-03-15,1022.0
136,198,cancelled,2025-05-16,2026-03-16,1075.38
137,124,completed,2025-05-17,2026-03-17,1090.2
138,90,pending,2025-05-18,2026-03-18,1050.09
139,138,completed,2025-05-19,2026-03-19,1065.12
140,45,cancelled,2025-05-20,2026-03-20,1079.08
141,198,cancelled,2025-05-21,2026-03-21,1050.41
142,124,completed,2025-05-22,2026-03-22,1064.27
143,90,pending,2025-05-23,2026-03-23,1097.38
144,138,completed,2025-05-24,2026-03-24,1026.22
145,45,cancelled,2025-05-25,2026-03-25,1054.05
146,198,cancelled,2025-05-26,2026-03-26,1075.83
