id,name,sku,category,price,quantity,min_stock_level,reorder_point,safety_stock,created_at,updated_at
1,Almost Eye,SKU00001,Section,190.4,358,19,81,9,2025-11-02 19:07:37.400309,2025-11-02 19:07:37.400311
2,Off Oil,SKU00002,Past,225.69,224,15,84,6,2025-11-02 19:07:37.400374,2025-11-02 19:07:37.400375
3,Development Economy,SKU00003,Identify,75.72,140,26,62,4,2025-11-02 19:07:37.400428,2025-11-02 19:07:37.400428
4,Experience Place,SKU00004,Safe,362.39,423,42,11,3,2025-11-02 19:07:37.400478,2025-11-02 19:07:37.400479
5,Writer Hundred,SKU00005,Create,155.6,31,48,98,19,2025-11-02 19:07:37.400529,2025-11-02 19:07:37.400530
6,Of Magazine,SKU00006,Current,264.76,179,32,69,18,2025-11-02 19:07:37.400580,2025-11-02 19:07:37.400580
7,Open Their,SKU00007,Site,120.22,455,48,64,5,2025-11-02 19:07:37.400629,2025-11-02 19:07:37.400629
8,Sport Police,SKU00008,Know,430.67,144,25,82,9,2025-11-02 19:07:37.400689,2025-11-02 19:07:37.400690
9,Air Unit,SKU00009,Data,11.57,98,18,18,4,2025-11-02 19:07:37.400740,2025-11-02 19:07:37.400741
10,Attack Strong,SKU00010,Stage,343.7,376,11,53,10,2025-11-02 19:07:37.400789,2025-11-02 19:07:37.400789
11,Statement Trial,SKU00011,Sea,22.02,215,21,45,10,2025-11-02 19:07:37.400836,2025-11-02 19:07:37.400837
12,Morning House,SKU00012,Grow,378.9,399,46,13,14,2025-11-02 19:07:37.400885,2025-11-02 19:07:37.400886
13,Open It,SKU00013,Whatever,470.05,455,40,23,18,2025-11-02 19:07:37.400933,2025-11-02 19:07:37.400933
14,But Evening,SKU00014,Democratic,166.64,471,27,71,10,2025-11-02 19:07:37.400981,2025-11-02 19:07:37.400981
15,House Mind,SKU00015,Current,423.04,246,22,62,15,2025-11-02 19:07:37.401028,2025-11-02 19:07:37.401029
16,Able Often,SKU00016,Trial,74.76,24,49,74,9,2025-11-02 19:07:37.401075,2025-11-02 19:07:37.401076
17,Hot Network,SKU00017,Course,214.58,138,48,17,13,2025-11-02 19:07:37.401135,2025-11-02 19:07:37.401136
18,Staff Improve,SKU00018,Both,103.43,401,39,44,3,2025-11-02 19:07:37.401188,2025-11-02 19:07:37.401188
19,Executive Board,SKU00019,Message,304.95,499,43,50,9,2025-11-02 19:07:37.401236,2025-11-02 19:07:37.401237
20,Work Purpose,SKU00020,Tonight,425.77,277,38,42,18,2025-11-02 19:07:37.401283,2025-11-02 19:07:37.401284
21,Doctor Especially,SKU00021,Baby,188.56,71,28,46,5,2025-11-02 19:07:37.401330,2025-11-02 19:07:37.401331
22,Hospital Week,SKU00022,Exactly,297.69,223,31,44,3,2025-11-02 19:07:37.401377,2025-11-02 19:07:37.401377
23,Know Would,SKU00023,Full,194.55,440,18,12,3,2025-11-02 19:07:37.401423,2025-11-02 19:07:37.401424
24,Push Truth,SKU00024,Position,362.26,264,18,36,11,2025-11-02 19:07:37.401469,2025-11-02 19:07:37.401470
25,Real Look,SKU00025,Spring,356.78,355,46,86,9,2025-11-02 19:07:37.401515,2025-11-02 19:07:37.401516
26,Fast Total,SKU00026,Open,240.31,105,8,32,9,2025-11-02 19:07:37.401562,2025-11-02 19:07:37.401562
27,Yeah Easy,SKU00027,Young,208.14,180,33,45,15,2025-11-02 19:07:37.401609,2025-11-02 19:07:37.401609
28,Ten Pattern,SKU00028,Score,43.11,196,26,37,4,2025-11-02 19:07:37.401655,2025-11-02 19:07:37.401655
29,Debate With,SKU00029,Her,314.06,71,10,37,14,2025-11-02 19:07:37.401712,2025-11-02 19:07:37.401713
30,Direction Listen,SKU00030,Bank,97.35,295,15,98,9,2025-11-02 19:07:37.401759,2025-11-02 19:07:37.401760
31,Expect Charge,SKU00031,Between,453.88,394,31,71,15,2025-11-02 19:07:37.401806,2025-11-02 19:07:37.401807
32,Eat Special,SKU00032,Environment,431.06,368,10,81,11,2025-11-02 19:07:37.401853,2025-11-02 19:07:37.401854
33,What Alone,SKU00033,Similar,244.99,234,46,53,17,2025-11-02 19:07:37.401899,2025-11-02 19:07:37.401900
34,Opportunity Form,SKU00034,Machine,88.3,169,36,97,11,2025-11-02 19:07:37.401946,2025-11-02 19:07:37.401947
35,Economic Open,SKU00035,Our,204.9,327,16,48,4,2025-11-02 19:07:37.401992,2025-11-02 19:07:37.401993
36,Region Situation,SKU00036,Among,357.57,110,21,68,19,2025-11-02 19:07:37.402038,2025-11-02 19:07:37.402038
37,Success Level,SKU00037,Instead,488.42,229,27,10,4,2025-11-02 19:07:37.402084,2025-11-02 19:07:37.402084
38,Bit Painting,SKU00038,Everyone,267.81,227,36,79,6,2025-11-02 19:07:37.402137,2025-11-02 19:07:37.402137
39,Action Respond,SKU00039,Teacher,45.02,193,21,47,7,2025-11-02 19:07:37.402183,2025-11-02 19:07:37.402184
40,Sit Wall,SKU00040,His,317.99,207,26,20,18,2025-11-02 19:07:37.402229,2025-11-02 19:07:37.402230
41,Team Every,SKU00041,Trouble,400.18,210,10,89,5,2025-11-02 19:07:37.402275,2025-11-02 19:07:37.402276
42,Matter Race,SKU00042,Paper,297.49,452,40,28,5,2025-11-02 19:07:37.402322,2025-11-02 19:07:37.402322
43,Avoid Especially,SKU00043,Window,405.7,157,36,80,11,2025-11-02 19:07:37.402368,2025-11-02 19:07:37.402368
44,Sense Give,SKU00044,Grow,347.01,137,43,91,10,2025-11-02 19:07:37.402413,2025-11-02 19:07:37.402414
45,Serious Enough,SKU00045,Us,73.07,485,29,59,12,2025-11-02 19:07:37.402460,2025-11-02 19:07:37.402460
46,Produce Sea,SKU00046,Who,132.68,261,20,99,18,2025-11-02 19:07:37.402506,2025-11-02 19:07:37.402506
47,Nothing Life,SKU00047,Crime,279.82,69,6,10,18,2025-11-02 19:07:37.402552,2025-11-02 19:07:37.402552
48,Attention Painting,SKU00048,Without,482.88,462,41,41,11,2025-11-02 19:07:37.402598,2025-11-02 19:07:37.402598
49,Finish Role,SKU00049,Act,143.04,156,20,12,3,2025-11-02 19:07:37.402644,2025-11-02 19:07:37.402645
50,Last Computer,SKU00050,Official,322.81,84,12,45,8,2025-11-02 19:07:37.402700,2025-11-02 19:07:37.402701
51,Role Fact,SKU00051,Staff,336.15,263,39,98,5,2025-11-02 19:07:37.402748,2025-11-02 19:07:37.402748
52,Analysis He,SKU00052,Chair,486.96,411,22,75,5,2025-11-02 19:07:37.402795,2025-11-02 19:07:37.402795
53,Already Politics,SKU00053,Window,327.72,178,40,42,6,2025-11-02 19:07:37.402841,2025-11-02 19:07:37.402842
54,Every Note,SKU00054,Grow,122.44,286,24,17,9,2025-11-02 19:07:37.402888,2025-11-02 19:07:37.402889
55,Table Read,SKU00055,Imagine,361.87,137,37,57,14,2025-11-02 19:07:37.402934,2025-11-02 19:07:37.402934
56,Shake Word,SKU00056,The,256.86,479,26,39,8,2025-11-02 19:07:37.402983,2025-11-02 19:07:37.402984
57,Spring Try,SKU00057,Language,489.55,60,12,36,4,2025-11-02 19:07:37.403029,2025-11-02 19:07:37.403030
58,Will Quality,SKU00058,Your,178.29,106,32,73,3,2025-11-02 19:07:37.403077,2025-11-02 19:07:37.403077
59,Tough Team,SKU00059,Medical,101.65,326,23,13,5,2025-11-02 19:07:37.403131,2025-11-02 19:07:37.403131
60,Amount Century,SKU00060,Whether,385.43,26,48,39,16,2025-11-02 19:07:37.403179,2025-11-02 19:07:37.403179
61,Guy Argue,SKU00061,Edge,457.86,108,45,46,19,2025-11-02 19:07:37.403225,2025-11-02 19:07:37.403225
62,However Dog,SKU00062,White,278.62,104,39,69,3,2025-11-02 19:07:37.403271,2025-11-02 19:07:37.403271
